tid,toi,pl_mass,tfopwg_disp,st_tmag,st_tmagerr,ra,dec,pmra,pmraerr,pmdec,pmdecerr,pl_tranepoch,pl_tranepocherr,pl_orbper,pl_orbpererr,pl_trandurh,pl_trandurherr,pl_trandepmmag,pl_trandepmmagerr,pl_trandep,pl_trandeperr,pl_rade,pl_radeerr,pl_insol,pl_eqt,pl_snr,st_dist,st_disterr,st_teff,st_tefferr,st_logg,st_loggerr,st_rad,st_raderr,st_feh,st_feherr,st_mass,st_masserr
60074373,4817.01,99.87,0,14.6435,0.007,111.092717,-44.032701,-2.804,3.021,8.595,3.021,2459276.407,0.002877,3.190373,0.0012317,2.684,0.294,47.209741,0.080584,42550.0,74.2181,12.0669,0.719336,75.4043,820.0,11.0,,,3722.0,157.0,4.65,0.01,0.6,0.02,,,0.590457,0.0226727
332630868,4827.01,127.5,0,12.3805,0.006,136.943663,-17.051007,8.908,2.107,-3.021,2.106,2458525.418,0.0025285,736.5601487,0.0041739,4.183,0.205,3.915703,0.010499,3600.0,9.66992,13.9475,,0.0558395,,12.0,478.847,,5895.4,,,,1.31,,0.0510485,0.0810161,,
268439377,4829.01,82.68,0,13.1591,0.006,116.835959,-49.122453,1.335,0.033,2.225,0.034,2459279.26,0.0019606,0.9855374,3.8e-06,1.18,0.168,3.577961,0.00807,3290.0,7.43254,10.8393,,1493.99,1732.0,17.0,1007.8,19.7475,6198.4,88.5,4.02,,1.76,,-0.164454,0.0817319,1.19,
374200604,4838.01,42.05,0,11.869,0.007,158.073445,2.237845,-1.109,0.068,-19.544,0.066,2459525.795,0.000484569,0.760019018,9.62e-06,0.63873804,0.21088833,2.027429,0.149564,1865.588652,137.7442,7.290258938,5.471068,9667.922808,2529.024538,15.336781,515.491,12.07,5690.2,141.2,4.0,0.08,1.659989953,0.100274,0.252,0.036,1.01,0.126281
80029842,4840.01,15.48,0,12.2896,0.006,121.23238,-47.76813,-5.803,0.051,4.208,0.064,2459279.306,0.0058862,2.3992876,2.56e-05,2.545,0.418,1.281925,0.004326,1180.0,3.98393,4.05839,0.310778,1543.44,1746.0,10.0,502.28,6.543,6536.0,130.2,4.45,0.09,1.15,0.05,,,1.35,0.229447
418971787,4846.01,15.58,0,13.0246,0.006,120.497337,-35.061315,7.589,0.027,1.303,0.029,2459277.893,0.0037196,1.0638184,7.1e-06,3.191,0.39,3.501711,0.005209,3220.0,4.79803,4.08617,,4267.44,2251.0,18.0,282.469,1.3195,4963.0,122.0,4.63,,0.73,,,,0.82,
132534906,4849.01,50.15,0,12.5874,0.006,119.771898,-37.900646,1.578,0.032,20.622,0.037,2459277.979,0.0029725,3.0617364,1.97e-05,1.947,0.256,7.21147,0.017209,6620.0,15.85,8.08218,0.549472,583.235,1369.0,13.0,483.182,5.009,6783.0,131.6,4.62,0.09,0.98,0.04,,,1.46,0.248518
428685938,4856.01,45.63,0,14.379,0.007,180.231429,-23.634554,-60.995,0.121,38.976,0.059,2460022.855,0.001595616,14.4896397,0.003506,1.898,0.247,44.401089,0.103083,40070.0,94.9383,7.558,0.446523,1.21746,292.0,15.0,119.474,0.9925,3376.0,157.0,4.87,,0.35,0.01,,,0.339059,0.0205456
335590096,4860.01,60.97,1,13.7726,0.008,183.563961,-13.174841,-177.244,0.211,-5.516,0.165,2459304.246,0.0005869,1.5229985,7.04e-05,1.196,0.156,64.9419,0.113262,58060.0,104.313,8.99483,0.485033,37.1159,687.0,66.0,80.1423,0.643,3237.0,157.0,4.87,,0.35,0.01,,,0.337566,0.0205314
322807371,4862.01,71.3,1,11.6707,0.006,173.714867,-24.60548,23.791,0.063,-49.468,0.04,2459287.603,0.0024978,,,5.513,0.78,10.973431,0.011205,10056.0,10.32,9.93012,0.653946,172.857,1010.0,28.0,238.377,2.4135,5427.9,123.3,4.49,0.08,0.91,0.05,0.0162228,0.0654486,0.946,0.123492
358072664,4902.01,65.62,0,12.8989,0.006,138.943337,-60.291854,0.336,0.031,9.124,0.026,2459327.067,0.0035454,4.1934945,3.46e-05,1.873,0.33,2.946339,0.009913,2710.0,9.1303,9.49438,0.749546,137.464,953.0,9.0,727.548,8.3025,5541.0,131.8,4.01,0.08,1.63,0.09,,,0.98,0.123093
49254857,4914.01,107.2,1,11.6629,0.012,204.542672,-28.142921,-13.357,0.066,-15.313,0.057,2459317.273,0.0009292,10.5988743,0.0013519,1.638,0.205,14.119119,0.013039,12920.0,12.0092,12.6054,0.772646,18.1082,574.0,43.0,299.89,3.4375,5809.9,123.1,4.42,0.08,1.04,0.05,-0.166743,0.0825371,1.04,0.132074
454069765,4916.01,61.14,1,12.1137,0.006,176.240233,-38.139716,-21.126,0.046,-0.988,0.037,2459326.618,0.0036295,4.1197036,0.0007363,4.547,0.456,2.924566,0.002989,2690.0,2.75282,9.06392,0.541736,1047.58,1584.0,20.0,647.595,14.7305,5848.8,105.9,3.96,0.07,1.79,0.09,0.412489,0.0671756,1.06,0.133559
292797572,4934.01,111.19,0,12.6554,0.009,218.676874,-58.297303,-7.637,0.083,-8.874,0.088,2459355.677,0.0090147,2.8013515,3.86e-05,5.405,1.516,4.995001,0.34444,4590.0,317.191,12.9252,3.31566,28108.4,3607.0,15.0,824.376,21.544,7518.0,142.8,4.23,0.08,1.67,0.07,,,1.74,0.264689
319783554,4946.01,86.46,0,12.1164,0.008,205.145274,-63.742301,-6.418,0.038,-6.122,0.049,2459357.232,0.0043968,1.819376,2.88e-05,2.97,1.015,5.704216,0.088033,5240.0,81.078,11.1303,1.56849,12022.3,2917.0,12.0,664.284,14.649,7567.0,142.9,4.31,0.08,1.53,0.06,,,1.75,0.279985
277128619,4994.01,61.07,1,11.9545,0.006,283.132534,-78.43443,1.03,0.032,9.964,0.043,2459363.698,0.0017096,21.4921464,8.49e-05,4.199,0.211,6.490348,0.002299,5960.0,2.11749,9.09747,0.512649,22.7774,608.0,34.0,329.304,2.4985,5520.0,127.1,4.34,0.08,1.11,0.06,,,0.97,0.1204
282485660,5005.01,30.33,1,11.13,0.006,238.108194,-48.1451,-7.626,0.091,-24.688,0.062,2459377.176,0.0023907,6.3084728,3.53e-05,2.871,0.344,4.013777,0.004721,3690.0,4.3484,6.00429,0.358546,174.188,1012.0,22.0,207.891,1.978,5840.0,125.0,4.48,0.08,0.97,0.05,,,1.05,0.132959
361711730,5027.01,88.06,1,10.9097,0.006,243.885021,-69.217097,-22.023,0.031,-31.99,0.04,2459387.004,0.0011595,10.2436729,2.79e-05,2.999,0.286,10.265151,0.328213,9410.0,302.25,11.2818,1.9152,190.912,1035.0,50.0,204.429,1.0515,5845.9,122.8,4.5,0.08,0.96,0.05,-0.290904,0.0754052,1.06,0.130457
243244680,5065.01,26.22,1,9.66896,0.006,136.574193,19.402057,45.492,0.06,-41.791,0.045,2459575.852,0.0007485,19.4921473,7.9e-06,3.568,0.061,1.847322,0.000116,1700.0,0.107002,5.50689,0.255766,31.9085,662.0,86.0,181.69,1.286,6128.0,124.1,4.23,0.08,1.36,0.06,,,1.158,0.154946
117275513,5067.01,11.23,1,11.7421,0.006,130.878348,24.422956,1.18,0.058,-34.594,0.037,2460276.929,0.0026616,4.6886342,5.8e-06,2.651,0.107,1.596119,0.031244,1469.0,28.776,3.36071,0.226598,133.083,946.0,57.0,201.856,1.4895,4954.0,129.1,4.47,0.09,0.87,0.06,,,0.816,0.0935
366631954,5068.01,8.99,1,11.1704,0.006,130.180046,10.982951,-65.162,0.088,1.417,0.062,2460277.078,0.001291,4.7369669,2.4e-06,2.58,0.099,1.344974,0.032438,1238.0,29.8764,2.93924,0.156577,307.522,1166.0,93.0,154.83,1.246,5069.2,124.4,4.46,2.0,0.79,0.04,0.155,0.024,0.878,0.107425
319968129,5070.01,43.69,0,10.3879,0.006,95.305914,20.878513,-10.55,0.084,3.158,0.07,2460285.33,0.0028419,6.216994,2.58e-05,2.759,0.875,2.238923,0.347453,2060.0,319.965,7.46488,0.71325,699.959,1432.0,24.0,286.43,3.519,6304.0,199.3,4.16,0.1,1.54,0.07,,,1.238,0.211342
307733361,5071.01,11.71,1,10.0121,0.006,129.601086,20.106007,-36.144,0.108,-13.014,0.061,2460284.309,0.0012089,1.6739029,7e-07,1.355,0.117,0.937395,0.024251,863.0,22.3356,3.44449,0.189317,757.167,1461.0,20.0,188.959,2.4405,6115.5,141.5,4.33,0.09,1.22,0.06,0.28076,0.0100895,1.153,0.168413
7059054,5072.01,44.07,1,12.244,0.007,126.936662,17.579327,-13.871,0.062,-14.712,0.04,2460255.017,0.0081182,5.185768,1.64e-05,2.356,0.166,14.209318,0.555583,13002.0,511.58,7.50399,0.660588,126.877,935.0,256.0,169.398,1.0545,4664.8,144.3,4.68,0.11,0.65,0.06,0.110723,0.0130056,0.74,0.0906058
23113034,5075.01,21.87,0,8.3482,0.009,60.838304,25.343808,-12.418,0.115,-5.113,0.07,2460256.342,0.0014298,1.7134571,4.8e-06,1.433,0.448,0.385505,0.028126,355.0,25.9045,4.95462,0.283062,4181.14,2240.0,19.0,246.968,5.4675,8638.0,152.9,3.93,0.07,2.64,0.09,,,2.16,0.320039
303432813,5076.01,9.44,1,9.9909,0.006,50.510417,17.239209,168.793,0.081,-175.975,0.065,2460250.881,0.003289,23.4428912,0.0001199,4.392,0.276,1.763581,0.063932,1623.0,58.8818,3.02618,0.265056,12.8373,527.0,21.0,82.857,0.30515,4794.4,151.4,4.47,0.11,0.85,0.07,0.299,0.1,0.77,0.0950006
69672493,5079.01,5.59,0,9.642901,0.006,77.394839,24.324493,75.031,0.078,-186.132,0.05,2460257.097,0.001873,1.4920726,4.7e-06,1.594,0.315,0.98521,0.055807,907.0,51.3985,2.23482,0.160056,654.339,1409.0,22.0,77.3109,0.24775,5125.0,124.0,4.56,0.08,0.81,0.05,,,0.86,0.100986
17409453,5080.01,41.69,1,12.9285,0.009,66.236364,18.827362,25.965,0.052,-13.642,0.038,2460243.191,0.0079088,9.72665,2.46e-05,4.584,0.529,2.485922,0.090245,2287.0,83.1154,7.23871,0.399353,361.739,1214.0,21.0,491.242,6.9575,5583.6,118.3,4.11,0.08,1.45,0.07,0.348445,0.0130817,0.99,0.125784
203214138,5081.01,63.22,1,10.5649,0.007,134.69028,20.868979,-2.621,0.078,-29.697,0.05,2460280.381,0.0139915,5.1699026,3.11e-05,1.972,0.094,3.381901,0.001253,3110.0,1.15401,9.23587,0.555516,562.184,1356.0,79.0,306.57,4.5895,6283.4,149.9,4.18,0.09,1.48,0.08,-0.303,0.009,1.23,0.18029
437011608,5082.01,7.56,1,7.6253,0.006,106.569578,22.683148,-92.348,0.08,-78.817,0.07,2460284.803,0.0008711,4.2403543,7.4e-06,2.353,0.354,0.914575,0.028013,842.0,25.8007,2.64301,0.127163,255.637,1113.0,31.0,43.1406,0.0966,5670.0,110.1,4.5,0.07,0.93,0.04,0.09,0.1,1.01,0.127915
5882269,5083.01,11.44,1,12.0394,0.006,79.140797,20.254903,25.0,0.082,-45.938,0.059,2460251.751,0.00306,4.7948642,6.3e-06,2.245,0.325,2.478305,0.118453,2280.0,109.093,3.3985,0.328165,118.638,919.0,30.0,107.272,0.4995,4072.0,123.7,4.62,0.11,0.65,0.06,,,0.637,0.0816038
178217113,5086.01,115.59,1,11.0514,0.006,127.578723,22.235919,-14.196,0.077,1.046,0.05,2460256.813,0.0002002,2.9956366,2e-07,2.287,0.078,8.47787,0.049357,7778.0,45.4583,13.1937,0.714035,963.566,1552.0,128.0,348.646,6.2145,6135.5,142.0,4.21,0.09,1.4,0.08,0.0284445,0.0105308,1.162,0.160956
18310799,5087.01,13.58,1,10.1192,0.006,67.412861,22.882567,82.874,0.134,-35.617,0.077,2460253.013,0.0021694,17.3070631,1.58e-05,3.646,0.202,2.074651,0.056537,1909.0,52.0714,3.7275,0.296614,31.2616,658.0,64.0,59.2474,0.1871,4230.6,104.4,4.48,0.09,0.77,0.06,-0.002,0.033,0.66,0.0792569
330687113,5089.01,27.44,1,10.999,0.009,136.489426,16.325515,-9.238,0.082,-9.538,0.059,2459503.124,0.001239933,5.113835036,2.27e-05,2.455678675,0.29312152,1.401912,0.075966,1290.375031,69.96525,5.670863357,1.1660464,832.2294086,1369.873657,16.5122,371.823,6.419,6315.7,140.9,4.17,0.09,1.508759975,0.0786156,0.14626,0.0061105,1.24,0.18688
184892124,5090.01,83.21,1,16.0573,0.008,130.664165,19.41436,-36.805,0.226,-13.133,0.131,2459500.669,0.000427963,1.982804125,5.28e-06,1.113938614,0.06482997,153.832089,5.58195,132105.0435,5127.973,10.89107018,0.5742868,20.61703971,543.4709395,28.9368,185.731,4.86,3213.0,157.0,4.93347,0.00109246,0.293047011,0.0116176,,,0.268704,0.0219432
